Date,Equity,Bond,Commodity,Portfolio
1/31/2008,-0.077075006,0.0168,0.0358,-0.037625003
2/29/2008,-0.007355699,0.0014,0.0537,0.001376581
3/31/2008,-0.012474237,0.0034,0.0602,-0.000444542
4/30/2008,0.049801621,-0.0021,0.0445,0.033700973
5/30/2008,0.011092202,-0.0073,0.0768,0.012145321
6/30/2008,-0.081008648,-0.0008,0.0569,-0.043155189
7/31/2008,-0.025268716,-0.0008,0.0188,-0.01352123
8/29/2008,-0.01597572,0.0095,-0.1096,-0.017695432
9/30/2008,-0.120771973,-0.0134,-0.0989,-0.086373184
10/31/2008,-0.190451464,-0.0236,-0.2104,-0.142390878
11/28/2008,-0.067191785,0.0325,-0.1742,-0.047985071
12/31/2008,0.030573642,0.0373,-0.145,0.015034185
1/30/2009,-0.088455445,-0.0088,0.0416,-0.051553267
2/27/2009,-0.104865485,-0.0038,-0.0413,-0.068189291
3/31/2009,0.072387373,0.0139,0.0199,0.049592424
4/30/2009,0.109050242,0.0048,0.0403,0.070900145
5/29/2009,0.086200274,0.0073,0.1032,0.064230165
6/30/2009,-0.006140181,0.0057,0.116,0.009625891
7/31/2009,0.083714711,0.0161,-0.0367,0.051388827
8/31/2009,0.039096322,0.0104,0.0761,0.034187793
9/30/2009,0.038122732,0.0105,-0.0397,0.022053639
10/30/2009,-0.018469634,0.0049,0.0568,-0.00393178
11/30/2009,0.038725512,0.0129,0.0449,0.031595307
12/31/2009,0.016937234,-0.0156,-0.0001,0.00547234
1/29/2010,-0.0418762,0.0153,0.0355,-0.01698572
2/26/2010,0.01233635,0.0037,-0.0249,0.00602181
3/31/2010,0.059277468,-0.0012,0.0458,0.039786481
4/30/2010,-0.00163761,0.0104,0.061,0.008237434
5/31/2010,-0.099087742,0.0084,-0.0708,-0.064012645
6/30/2010,-0.035634344,0.0157,-0.0207,-0.018740606
7/30/2010,0.080189336,0.0107,0.0043,0.051753602
8/31/2010,-0.039230068,0.0129,0.03,-0.016668041
9/30/2010,0.091140086,0.0011,0.0118,0.056194052
10/29/2010,0.036492723,0.0036,0.0614,0.029115634
11/30/2010,-0.023455564,-0.0057,0.0333,-0.012453338
12/31/2010,0.072483281,-0.0108,0.0598,0.046229969
1/31/2011,0.021883161,0.0012,0.0435,0.017839897
2/28/2011,0.033303697,0.0025,0.0421,0.024942218
3/31/2011,-0.012371573,0.0006,0.0518,-0.002062944
4/29/2011,0.040223234,0.0127,0.0523,0.03317394
5/31/2011,-0.024494102,0.0131,-0.0507,-0.015836461
6/30/2011,-0.017292838,-0.0029,-0.0171,-0.012955703
7/29/2011,-0.018876457,0.0159,0.0142,-0.005135874
8/31/2011,-0.072608024,0.0146,-0.042,-0.043384814
9/30/2011,-0.088471662,0.0073,-0.01,-0.051892997
10/31/2011,0.102558273,0.0011,-0.0306,0.058804964
11/30/2011,-0.026856245,-0.0009,0.0181,-0.014573747
12/30/2011,-0.001695925,0.011,-0.0121,0.001072445
1/31/2012,0.049297519,0.0088,0.0237,0.034588512
2/29/2012,0.046600274,-0.0002,0.0393,0.031830164
3/30/2012,0.010233923,-0.0055,0.0306,0.007550354
4/30/2012,-0.013734641,0.0111,-0.0218,-0.007090785
5/31/2012,-0.089912526,0.009,-0.0617,-0.057417516
6/29/2012,0.049311125,0.0004,-0.0822,0.021486675
7/31/2012,0.012019752,0.0138,0.0466,0.016011851
8/31/2012,0.022900776,0.0007,0.0421,0.018160465
9/28/2012,0.025246872,0.0014,0.0091,0.016478123
10/31/2012,-0.007611109,0.002,-0.0212,-0.006086665
11/30/2012,0.010734356,0.0016,-0.0146,0.005460613
12/31/2012,0.017489261,-0.0014,0.0096,0.011033556
1/31/2013,0.050030631,-0.007,0.0284,0.030758379
2/28/2013,-0.000203491,0.005,0.017,0.003077905
3/29/2013,0.020876329,0.0008,-0.0361,0.009155797
4/30/2013,0.029016079,0.0101,-0.0263,0.017809647
5/31/2013,-0.002849325,-0.0178,0.0032,-0.006729595
6/28/2013,-0.026077953,-0.0155,-0.0018,-0.020476772
7/31/2013,0.051874789,0.0014,0.0247,0.034014873
8/30/2013,-0.023326943,-0.0051,0.0122,-0.014306166
9/30/2013,0.048164711,0.0095,-0.0037,0.031378827
10/31/2013,0.038342342,0.0081,-0.016,0.023835405
11/29/2013,0.015948991,-0.0037,-0.0142,0.007039395
12/31/2013,0.02004699,-0.0057,0.0241,0.012728194
1/31/2014,-0.0376944,0.0148,-0.021,-0.02027664
2/28/2014,0.048136452,0.0053,0.0177,0.032241871
3/31/2014,-0.000910827,-0.0017,-0.0006,-0.001116496
4/30/2014,0.008284972,0.0084,0.0084,0.008330983
5/30/2014,0.016259594,0.0114,-0.0022,0.012955757
6/30/2014,0.016459459,0.0005,0.0051,0.010535675
7/31/2014,-0.016669582,-0.0025,-0.0211,-0.012861749
8/29/2014,0.020027964,0.011,-0.0331,0.012006778
9/30/2014,-0.028752985,-0.0068,-0.0383,-0.023121791
10/31/2014,0.00570181,0.0098,-0.065,-0.000138914
11/28/2014,0.018386012,0.0071,-0.058,0.007361607
12/31/2014,-0.017145761,0.0009,-0.1187,-0.021887457
1/30/2015,-0.018796003,0.021,-0.1229,-0.017267602
2/27/2015,0.05682438,-0.0094,0.0552,0.036794628
3/31/2015,-0.018076985,0.0046,-0.0318,-0.012646191
4/30/2015,0.021591049,-0.0036,0.0196,0.013834629
5/29/2015,0.000510009,-0.0024,0.0445,0.004036005
6/30/2015,-0.024556752,-0.0109,-0.0164,-0.019644051
7/31/2015,0.017279774,0.007,-0.0651,0.005957864
8/31/2015,-0.06806396,-0.0014,-0.0917,-0.050428376
9/30/2015,-0.038596598,0.0068,-0.0067,-0.021787959
10/30/2015,0.078310435,0.0002,-0.0007,0.046976261
11/30/2015,-0.006686587,-0.0026,-0.0585,-0.010641952
12/31/2015,-0.018651473,-0.0032,-0.0681,-0.018960884
1/29/2016,-0.060510202,0.0138,-0.0839,-0.040556121
2/29/2016,-0.009604539,0.0071,0.0091,-0.002722724
3/31/2016,0.065244116,0.0092,0.1,0.05190647
4/29/2016,0.013759937,0.0038,0.0439,0.013785962
5/31/2016,0.00228454,0.0003,0.06,0.007460724
6/30/2016,-0.012769517,0.018,0.0322,0.00095829
7/29/2016,0.041469754,0.0063,-0.0256,0.024211852
8/31/2016,-0.001314912,-0.0011,-0.0006,-0.001178947
9/30/2016,0.003571337,-0.0006,-0.0026,0.001702802
10/31/2016,-0.020133108,-0.0076,0.0555,-0.008809865
11/30/2016,0.012518023,-0.0237,-0.0148,-0.001079186
12/30/2016,0.02285512,0.0014,0.0731,0.021443072
1/31/2017,0.023517333,0.002,0.0332,0.0180304
2/28/2017,0.025829013,0.0067,0.0038,0.017887408
3/31/2017,0.008153047,-0.0005,-0.0448,0.000261828
4/28/2017,0.013263275,0.0077,-0.0007,0.010197965
5/31/2017,0.017816338,0.0077,-0.0233,0.010669803
6/30/2017,0.00245117,-0.001,-0.0339,-0.002219298
